County,geographic_unit_full_name,IPC,Month,in_Phase3+
MMarsabitg'a,"Aberdare Forest1, MMarsabitg'a, Central, Kenya",1,2011-07,0
MMarsabitg'a,"Aberdare Forest1, MMarsabitg'a, Central, Kenya",1,2011-10,0
MMarsabitg'a,"Aberdare Forest1, MMarsabitg'a, Central, Kenya",1,2012-01,0
MMarsabitg'a,"Aberdare Forest1, MMarsabitg'a, Central, Kenya",1,2012-04,0
MMarsabitg'a,"Aberdare Forest1, MMarsabitg'a, Central, Kenya",1,2012-07,0
MMarsabitg'a,"Aberdare Forest1, MMarsabitg'a, Central, Kenya",1,2012-10,0
MMarsabitg'a,"Aberdare Forest1, MMarsabitg'a, Central, Kenya",1,2013-01,0
MMarsabitg'a,"Aberdare Forest1, MMarsabitg'a, Central, Kenya",1,2013-04,0
MMarsabitg'a,"Aberdare Forest1, MMarsabitg'a, Central, Kenya",1,2013-07,0
MMarsabitg'a,"Aberdare Forest1, MMarsabitg'a, Central, Kenya",1,2013-10,0
MMarsabitg'a,"Aberdare Forest1, MMarsabitg'a, Central, Kenya",1,2014-01,0
MMarsabitg'a,"Aberdare Forest1, MMarsabitg'a, Central, Kenya",1,2014-04,0
MMarsabitg'a,"Aberdare Forest1, MMarsabitg'a, Central, Kenya",1,2014-07,0
MMarsabitg'a,"Aberdare Forest1, MMarsabitg'a, Central, Kenya",1,2014-10,0
MMarsabitg'a,"Aberdare Forest1, MMarsabitg'a, Central, Kenya",1,2015-01,0
MMarsabitg'a,"Aberdare Forest1, MMarsabitg'a, Central, Kenya",1,2015-04,0
MMarsabitg'a,"Aberdare Forest1, MMarsabitg'a, Central, Kenya",1,2015-07,0
MMarsabitg'a,"Aberdare Forest1, MMarsabitg'a, Central, Kenya",1,2015-10,0
MMarsabitg'a,"Aberdare Forest1, MMarsabitg'a, Central, Kenya",1,2016-02,0
Nyeri,"Aberdare Forest, Nyeri, Central, Kenya",1,2011-07,0
Nyeri,"Aberdare Forest, Nyeri, Central, Kenya",1,2011-10,0
Nyeri,"Aberdare Forest, Nyeri, Central, Kenya",1,2012-01,0
Nyeri,"Aberdare Forest, Nyeri, Central, Kenya",1,2012-04,0
Nyeri,"Aberdare Forest, Nyeri, Central, Kenya",1,2012-07,0
Nyeri,"Aberdare Forest, Nyeri, Central, Kenya",1,2012-10,0
Nyeri,"Aberdare Forest, Nyeri, Central, Kenya",1,2013-01,0
Nyeri,"Aberdare Forest, Nyeri, Central, Kenya",1,2013-04,0
Nyeri,"Aberdare Forest, Nyeri, Central, Kenya",1,2013-07,0
Nyeri,"Aberdare Forest, Nyeri, Central, Kenya",1,2013-10,0
Nyeri,"Aberdare Forest, Nyeri, Central, Kenya",1,2014-01,0
Nyeri,"Aberdare Forest, Nyeri, Central, Kenya",1,2014-04,0
Nyeri,"Aberdare Forest, Nyeri, Central, Kenya",1,2014-07,0
Nyeri,"Aberdare Forest, Nyeri, Central, Kenya",1,2014-10,0
Nyeri,"Aberdare Forest, Nyeri, Central, Kenya",1,2015-01,0
Nyeri,"Aberdare Forest, Nyeri, Central, Kenya",1,2015-04,0
Nyeri,"Aberdare Forest, Nyeri, Central, Kenya",1,2015-07,0
Nyeri,"Aberdare Forest, Nyeri, Central, Kenya",1,2015-10,0
Nyeri,"Aberdare Forest, Nyeri, Central, Kenya",1,2016-02,0
Meru,"Abogeta, Meru, Eastern, Kenya",1,2011-07,0
Meru,"Abogeta, Meru, Eastern, Kenya",1,2011-10,0
Meru,"Abogeta, Meru, Eastern, Kenya",1,2012-01,0
Meru,"Abogeta, Meru, Eastern, Kenya",1,2012-04,0
Meru,"Abogeta, Meru, Eastern, Kenya",1,2012-07,0
Meru,"Abogeta, Meru, Eastern, Kenya",1,2012-10,0
Meru,"Abogeta, Meru, Eastern, Kenya",1,2013-01,0
Meru,"Abogeta, Meru, Eastern, Kenya",1,2013-04,0
Meru,"Abogeta, Meru, Eastern, Kenya",1,2013-07,0
Meru,"Abogeta, Meru, Eastern, Kenya",1,2013-10,0
Meru,"Abogeta, Meru, Eastern, Kenya",1,2014-01,0
Meru,"Abogeta, Meru, Eastern, Kenya",1,2014-04,0
Meru,"Abogeta, Meru, Eastern, Kenya",1,2014-07,0
Meru,"Abogeta, Meru, Eastern, Kenya",1,2014-10,0
Meru,"Abogeta, Meru, Eastern, Kenya",1,2015-01,0
Meru,"Abogeta, Meru, Eastern, Kenya",1,2015-04,0
Meru,"Abogeta, Meru, Eastern, Kenya",1,2015-07,0
Meru,"Abogeta, Meru, Eastern, Kenya",1,2015-10,0
Meru,"Abogeta, Meru, Eastern, Kenya",1,2016-02,0
Meru,"Abothuguchi Central, Meru, Eastern, Kenya",1,2011-07,0
Meru,"Abothuguchi Central, Meru, Eastern, Kenya",1,2011-10,0
Meru,"Abothuguchi Central, Meru, Eastern, Kenya",1,2012-01,0
Meru,"Abothuguchi Central, Meru, Eastern, Kenya",1,2012-04,0
Meru,"Abothuguchi Central, Meru, Eastern, Kenya",1,2012-07,0
Meru,"Abothuguchi Central, Meru, Eastern, Kenya",1,2012-10,0
Meru,"Abothuguchi Central, Meru, Eastern, Kenya",1,2013-01,0
Meru,"Abothuguchi Central, Meru, Eastern, Kenya",1,2013-04,0
Meru,"Abothuguchi Central, Meru, Eastern, Kenya",1,2013-07,0
Meru,"Abothuguchi Central, Meru, Eastern, Kenya",1,2013-10,0
Meru,"Abothuguchi Central, Meru, Eastern, Kenya",1,2014-01,0
Meru,"Abothuguchi Central, Meru, Eastern, Kenya",1,2014-04,0
